"Notes"	"Year"	"Year Code"	"Census Region"	"Census Region Code"	"2005 Metro/Nonmetro"	"2005 Metro/Nonmetro Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Census Region 1: Northeast"	"CENS-R1"	"Metro"	"Metro"	433028	48106675	900.1	844.1
	"1999"	"1999"	"Census Region 1: Northeast"	"CENS-R1"	"Nonmetro"	"Nonmetro"	52948	5237100	1011.0	866.4
"Total"	"1999"	"1999"	"Census Region 1: Northeast"	"CENS-R1"			485976	53343775	911.0	846.5
	"1999"	"1999"	"Census Region 2: Midwest"	"CENS-R2"	"Metro"	"Metro"	415871	48601330	855.7	899.0
	"1999"	"1999"	"Census Region 2: Midwest"	"CENS-R2"	"Nonmetro"	"Nonmetro"	166275	15498731	1072.8	871.6
"Total"	"1999"	"1999"	"Census Region 2: Midwest"	"CENS-R2"			582146	64100061	908.2	891.3
	"1999"	"1999"	"Census Region 3: South"	"CENS-R3"	"Metro"	"Metro"	646963	77917342	830.3	896.6
	"1999"	"1999"	"Census Region 3: South"	"CENS-R3"	"Nonmetro"	"Nonmetro"	232940	21247118	1096.3	987.0
"Total"	"1999"	"1999"	"Census Region 3: South"	"CENS-R3"			879903	99164460	887.3	918.0
	"1999"	"1999"	"Census Region 4: West"	"CENS-R4"	"Metro"	"Metro"	384718	55779937	689.7	805.3
	"1999"	"1999"	"Census Region 4: West"	"CENS-R4"	"Nonmetro"	"Nonmetro"	58656	6651935	881.8	857.2
"Total"	"1999"	"1999"	"Census Region 4: West"	"CENS-R4"			443374	62431872	710.2	811.4
"Total"	"1999"	"1999"					2391399	279040168	857.0	875.6
	"2000"	"2000"	"Census Region 1: Northeast"	"CENS-R1"	"Metro"	"Metro"	434475	48342406	898.7	836.9
	"2000"	"2000"	"Census Region 1: Northeast"	"CENS-R1"	"Nonmetro"	"Nonmetro"	53356	5251972	1015.9	863.4
"Total"	"2000"	"2000"	"Census Region 1: Northeast"	"CENS-R1"			487831	53594378	910.2	839.9
